"","connection","date","time","from","to","vehicle","occupancy","line","from.station","from.name","from.longitude","from.latitude","from.avg_stop_times","from.prov","from.count","from.groups","from.k","from.maxcount","from.maj_groups","from.major_hub","from.non_hub","to.station","to.name","to.longitude","to.latitude","to.avg_stop_times","to.prov","to.count","to.groups","to.k","to.maxcount","to.maj_groups","to.major_hub","to.non_hub","occ_binary","date_time","hour","min","min_of_day","day_of_week","dist_morning_rush","dist_evening_rush","dist_rush","from_bruss","to_bruss","to_from_bruss","vehicle_type","nr_of_stops","temperature","humidity","windspeed","visibility","weather_type"
"1","008812005/20160727/IC4520",2016-07-27,"11:41:46 PM","008812005","008822004","IC4520","high","l.25","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","008822004","Mechelen",4.482785,51.017648,306.52312138728,"Antwerpen",253,"g3","k = 11",300,"mg5","Y","N","H",2016-07-28 00:00:00,0,0,0,"Wednesday",8,8,8,"Y","N","Y","IC",11,18,95,13,3,"wt.248"
"2","8831765/20160728/IC1532",2016-07-28,"12:04:25 AM","008831765","008831765","IC1532","low","l.21","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","L",2016-07-28 00:00:00,0,0,0,"Thursday",8,8,8,"N","N","N","IC",16,19,95,9,5,"wt.143"
"3","8831765/20160727/IC1532",2016-07-28,"12:18:09 AM","008831765","008813003","IC1532","low","l.36","008831765","Genk",5.497685,50.967057,39.476878612717,"Limburg",41,"g5","k = 11",132,"mg3","N","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 00:00:00,0,0,0,"Thursday",8,8,8,"N","Y","Y","IC",16,19,95,9,5,"wt.143"
"4","008819406/20160728/IC3628",2016-07-28,"12:38:28 AM","008819406","008812005","IC3628","high","l.36","008819406","Brussels Airport - Zaventem",4.482076,50.896456,171.02023121387,"Vlaams Brabant",173,"g9","k = 11",660,"mg1","N","N","008812005","Brussel-Noord/Bruxelles-Nord",4.360846,50.859663,640.26589595376,"Bruxelles",645,"g9","k = 11",660,"mg5","Y","N","H",2016-07-28 01:00:00,1,0,60,"Thursday",7,9,7,"Y","Y","Y","IC",28,18,97,11,0,"wt.248"
"5","008892007/20160728/IC1507",2016-07-28,"08:50:27 AM","008892007","008813003","IC1507","medium","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 09:00:00,9,0,540,"Thursday",1,9,1,"N","Y","Y","IC",16,17,85,9,10,"wt.176"
"6","008812211/20160728/S102080",2016-07-28,"09:15:50 AM","008812211","008813003","S102080","low","l.0","008812211","Sint-Agatha-Berchem/Berchem-Sainte-Agathe",4.289895,50.872625,39.121387283237,"Bruxelles",30,"g8","k = 11",334,"mg4","N","N","008813003","Brussel-Centraal/Bruxelles-Central",4.356801,50.845658,634.16473988439,"Bruxelles",641,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 09:00:00,9,0,540,"Thursday",1,9,1,"N","Y","Y","S",28,18,90,11,10,"wt.176"
"7","8892007/20160728/IC508",2016-07-28,"09:36:02 AM","008892007","008814001","IC508","medium","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 10:00:00,10,0,600,"Thursday",2,8,2,"N","Y","Y","IC",11,18,80,10,10,"wt.176"
"8","8892007/20160728/IC508",2016-07-28,"09:36:31 AM","008892007","008814001","IC508","medium","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 10:00:00,10,0,600,"Thursday",2,8,2,"N","Y","Y","IC",11,18,80,10,10,"wt.176"
"11","8892007/20160728/IC508",2016-07-28,"10:30:23 AM","008892007","008814001","IC508","medium","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 11:00:00,11,0,660,"Thursday",3,7,3,"N","Y","Y","IC",11,19,77,12,10,"wt.176"
"12","8892007/20160728/IC2808",2016-07-28,"10:31:15 AM","008892007","008814001","IC2808","medium","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 11:00:00,11,0,660,"Thursday",3,7,3,"N","Y","Y","IC",7,19,77,12,10,"wt.176"
"13","8892007/20160728/IC3608",2016-07-28,"10:31:57 AM","008892007","008814001","IC3608","low","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 11:00:00,11,0,660,"Thursday",3,7,3,"N","Y","Y","IC",28,19,77,12,10,"wt.176"
"14","8892007/20160728/IC2808",2016-07-28,"10:33:05 AM","008892007","008814001","IC2808","medium","l.50","008892007","Gent-Sint-Pieters",3.710675,51.035896,309.01445086705,"Oost-Vlaanderen",343,"g2","k = 11",343,"mg5","Y","N","008814001","Brussel-Zuid/Bruxelles-Midi",4.336531,50.835707,686.61560693642,"Bruxelles",660,"g9","k = 11",660,"mg5","Y","N","L",2016-07-28 11:00:00,11,0,660,"Thursday",3,7,3,"N","Y","Y","IC",7,19,77,12,10,"wt.176"
